date,high,open,low,close,volume,mav1,mav2,mav3,DiffBB,sameline
1542182400,1.32463,1.32441,1.32313,1.32454,10283,1.323616,1.32343,1.3202296000000002,0.039542406602381064,1
1542196800,1.32477,1.32453,1.32205,1.32288,11138,1.3237240000000001,1.323305,1.3207347999999999,0.03813415216426774,1
1542211200,1.32631,1.32288,1.32065,1.32361,20118,1.323626,1.3232650000000001,1.321218,0.03674840370792776,1
1542225600,1.3257,1.32362,1.32189,1.32372,24703,1.3238320000000001,1.323458,1.3215212,0.035394489237935645,1
1542240000,1.32515,1.32371,1.3235,1.32411,6305,1.323772,1.323505,1.321878,0.03385326160487523,1
1542254400,1.32452,1.3241,1.32246,1.32246,6832,1.323356,1.323486,1.32208,0.02959507085241686,1
1542268800,1.32326,1.32246,1.32158,1.32199,9452,1.323178,1.323451,1.3221868,0.02501554738445,1
1542283200,1.32377,1.322,1.32089,1.32246,15156,1.322948,1.323287,1.3223348,0.020418782246136136,1
1542297600,1.3237,1.32246,1.31888,1.3192,20473,1.3220439999999998,1.3229380000000002,1.3221832,0.019089880569016504,1
1542312000,1.3207,1.3192,1.31552,1.31832,19578,1.320886,1.322329,1.3221112,0.017223623656580145,1
1542326400,1.31892,1.31832,1.31708,1.31726,5825,1.3198459999999999,1.3216009999999998,1.3219572,0.01730750917759316,1
1542340800,1.31749,1.3172,1.31502,1.31632,7727,1.318712,1.320945,1.3218531999999998,0.018718062771890143,1
1542355200,1.3168,1.31632,1.31482,1.31581,7945,1.3173819999999998,1.3201649999999998,1.3217435999999998,0.020149684642042143,1
1542369600,1.31852,1.31581,1.3158,1.3183,9261,1.317202,1.319623,1.3216644,0.020549549468481754,1
1542384000,1.31856,1.3183,1.31261,1.31771,18320,1.31708,1.318983,1.3215956,0.021161056573610892,1
1542398400,1.31773,1.31773,1.31485,1.31562,14991,1.316752,1.318299,1.3213628,0.02271631328152912,1
1542412800,1.31571,1.31568,1.31438,1.31493,1475,1.316474,1.317593,1.3209948,0.024252914125672653,1
1542585600,1.31603,1.31525,1.31405,1.31594,3850,1.3165,1.316941,1.320672,0.025108984917499466,1
1542600000,1.31642,1.31596,1.31524,1.31628,3566,1.316096,1.316649,1.3204516000000002,0.025980860716826815,1
1542614400,1.31709,1.31627,1.31491,1.31541,6900,1.315636,1.316358,1.3201223999999998,0.02706768371172741,1
1542628800,1.31791,1.31541,1.31532,1.31723,9405,1.315958,1.3163550000000002,1.3199055999999998,0.02747554066949842,1
1542643200,1.32009,1.31723,1.31588,1.31865,13358,1.3167019999999998,1.3165879999999999,1.319758,0.02702314049490928,1
1542657600,1.32009,1.31866,1.31706,1.31755,11126,1.317024,1.316762,1.319496,0.02670027436082112,1
1542672000,1.31821,1.31756,1.31654,1.31715,4603,1.317198,1.316647,1.3192743999999998,0.026897694776251146,1
1542686400,1.31765,1.31716,1.3164,1.3173,4287,1.317576,1.316606,1.31899,0.02654881692106903,1
1542700800,1.31743,1.3173,1.31545,1.31657,6799,1.317444,1.316701,1.3186712,0.02654207731911873,1
1542715200,1.31942,1.31659,1.31653,1.3193,12250,1.317574,1.317138,1.318528,0.026192131272539054,1
1542729600,1.32711,1.3193,1.31925,1.32445,22242,1.318954,1.317989,1.3185615999999998,0.026335508967019194,1
1542744000,1.33172,1.32445,1.32418,1.33057,15691,1.3216379999999999,1.319418,1.3188355999999999,0.030663634231386183,1
1542758400,1.33149,1.33056,1.32949,1.33134,3939,1.324446,1.321011,1.3191248,0.034463716024355495,1
1542772800,1.33164,1.33139,1.33025,1.33049,3768,1.32723,1.322337,1.319446,0.03721755719531883,1
1542787200,1.33049,1.33049,1.32799,1.32824,5831,1.329018,1.3232959999999998,1.3196959999999998,0.038887795348093945,1
1542801600,1.32994,1.32826,1.32726,1.32763,13062,1.3296540000000001,1.3243040000000001,1.3199028,0.040073518551585696,1
1542816000,1.32965,1.32763,1.32632,1.32732,14916,1.329004,1.3253210000000002,1.3202276,0.04106244453479713,1
1542830400,1.32844,1.32732,1.32329,1.3244,11036,1.3276160000000001,1.326031,1.3204707999999998,0.04112038105173621,1
1542844800,1.3248,1.3244,1.32231,1.32325,4102,1.326168,1.326699,1.3207104,0.04121786011612727,1
1542859200,1.32388,1.32326,1.32185,1.32302,4248,1.325124,1.3270710000000001,1.3209784,0.041323692103977905,1
1542873600,1.32444,1.32303,1.32236,1.32386,5436,1.32437,1.327012,1.3213004000000002,0.04151286860888925,1
