<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.16	16:00:00	1.32982	1.33094	1.32728	1.32796	16591	0	1
2019.08.16	20:00:00	1.32796	1.32815	1.32612	1.32707	6261	0	1
2019.08.19	00:00:00	1.32598	1.32773	1.32578	1.32719	3351	0	1
2019.08.19	04:00:00	1.32719	1.32768	1.32694	1.32738	3995	0	3
2019.08.19	08:00:00	1.32738	1.32770	1.32644	1.32706	5620	0	1
2019.08.19	12:00:00	1.32706	1.32736	1.32507	1.32618	7141	0	1
2019.08.19	16:00:00	1.32616	1.33186	1.32597	1.33160	10132	0	1
2019.08.19	20:00:00	1.33160	1.33372	1.33131	1.33232	5965	0	1
2019.08.20	00:00:00	1.33231	1.33307	1.33217	1.33302	3757	0	2
2019.08.20	04:00:00	1.33302	1.33307	1.33124	1.33176	6976	0	2
2019.08.20	08:00:00	1.33176	1.33290	1.33084	1.33263	6425	0	1
2019.08.20	12:00:00	1.33263	1.33376	1.33129	1.33262	6395	0	1
2019.08.20	16:00:00	1.33262	1.33455	1.33110	1.33222	15727	0	1
2019.08.20	20:00:00	1.33222	1.33247	1.33107	1.33183	5948	0	2
2019.08.21	00:00:00	1.33186	1.33248	1.33122	1.33147	9921	0	2
2019.08.21	04:00:00	1.33147	1.33150	1.32987	1.33108	7734	0	2
2019.08.21	08:00:00	1.33108	1.33164	1.32958	1.33044	5283	0	1
2019.08.21	12:00:00	1.33044	1.33063	1.32534	1.32699	8504	0	1
2019.08.21	16:00:00	1.32700	1.32868	1.32554	1.32764	11995	0	1
2019.08.21	20:00:00	1.32764	1.32980	1.32736	1.32874	10378	0	1
2019.08.22	00:00:00	1.32893	1.33003	1.32822	1.32969	3328	0	1
2019.08.22	04:00:00	1.32969	1.33132	1.32918	1.33104	6286	0	2
2019.08.22	08:00:00	1.33104	1.33150	1.32867	1.32947	11034	0	1
2019.08.22	12:00:00	1.32945	1.33053	1.32769	1.32809	8850	0	2
2019.08.22	16:00:00	1.32809	1.33150	1.32751	1.32931	21989	0	1
2019.08.22	20:00:00	1.32931	1.33034	1.32880	1.33023	11826	0	1
2019.08.23	00:00:00	1.33025	1.33060	1.32923	1.33050	5906	0	2
2019.08.23	04:00:00	1.33050	1.33247	1.33033	1.33222	6933	0	1
2019.08.23	08:00:00	1.33222	1.33265	1.33096	1.33147	5612	0	1
2019.08.23	12:00:00	1.33147	1.33390	1.33061	1.33192	10933	0	1
2019.08.23	16:00:00	1.33192	1.33275	1.32767	1.33226	31883	0	1
2019.08.23	20:00:00	1.33227	1.33258	1.32778	1.32841	19165	0	1
2019.08.26	00:00:00	1.32918	1.33191	1.32918	1.33063	14484	0	1
2019.08.26	04:00:00	1.33063	1.33090	1.32907	1.32957	15100	0	1
2019.08.26	08:00:00	1.32957	1.33142	1.32861	1.32937	16819	0	1
2019.08.26	12:00:00	1.32937	1.33153	1.32849	1.32982	18450	0	1
2019.08.26	16:00:00	1.32982	1.33152	1.32604	1.32630	26790	0	1
2019.08.26	20:00:00	1.32630	1.32678	1.32461	1.32537	11906	0	1
2019.08.27	00:00:00	1.32537	1.32578	1.32440	1.32443	5017	0	3
2019.08.27	04:00:00	1.32443	1.32455	1.32348	1.32408	9195	0	1
2019.08.27	08:00:00	1.32409	1.32465	1.32280	1.32411	9404	0	1
2019.08.27	12:00:00	1.32411	1.32411	1.32250	1.32341	12823	0	0
2019.08.27	16:00:00	1.32341	1.32859	1.32330	1.32838	18367	0	0
2019.08.27	20:00:00	1.32838	1.33008	1.32747	1.32811	10381	0	0
2019.08.28	00:00:00	1.32816	1.32998	1.32784	1.32997	9348	0	2
2019.08.28	04:00:00	1.32997	1.33090	1.32890	1.33061	10267	0	0
2019.08.28	08:00:00	1.33061	1.33104	1.32950	1.33042	8319	0	0
2019.08.28	12:00:00	1.33042	1.33180	1.32988	1.33101	13079	0	0
2019.08.28	16:00:00	1.33101	1.33111	1.32876	1.32915	15545	0	0
2019.08.28	20:00:00	1.32915	1.33122	1.32884	1.33059	9156	0	0
2019.08.29	00:00:00	1.33057	1.33095	1.33047	1.33070	7962	0	2
2019.08.29	04:00:00	1.33075	1.33188	1.33073	1.33154	9739	0	2
2019.08.29	08:00:00	1.33152	1.33163	1.32796	1.32805	14970	0	0
2019.08.29	12:00:00	1.32805	1.33040	1.32725	1.33023	9486	0	0
2019.08.29	16:00:00	1.33023	1.33169	1.32901	1.33009	16310	0	0
2019.08.29	20:00:00	1.33009	1.33041	1.32863	1.32863	6967	0	0
2019.08.30	00:00:00	1.32861	1.32956	1.32770	1.32860	5374	0	0
2019.08.30	04:00:00	1.32859	1.33030	1.32851	1.33010	6636	0	0
2019.08.30	08:00:00	1.33010	1.33109	1.32986	1.33033	7584	0	0
2019.08.30	12:00:00	1.33033	1.33044	1.32467	1.32570	9193	0	0
2019.08.30	16:00:00	1.32571	1.33045	1.32496	1.33009	18259	0	0
2019.08.30	20:00:00	1.33009	1.33331	1.32958	1.33046	11590	0	1
2019.09.02	00:00:00	1.33131	1.33250	1.33130	1.33195	6600	0	1
2019.09.02	04:00:00	1.33195	1.33216	1.33127	1.33174	7338	0	3
2019.09.02	08:00:00	1.33174	1.33376	1.33125	1.33354	9804	0	0
2019.09.02	12:00:00	1.33351	1.33610	1.33270	1.33453	10268	0	0
2019.09.02	16:00:00	1.33453	1.33482	1.33119	1.33192	7896	0	0
2019.09.02	20:00:00	1.33192	1.33306	1.33191	1.33228	1923	0	6
2019.09.03	00:00:00	1.33229	1.33399	1.33186	1.33356	5529	0	1
2019.09.03	04:00:00	1.33356	1.33466	1.33296	1.33402	8459	0	1
2019.09.03	08:00:00	1.33402	1.33573	1.33278	1.33475	19665	0	0
2019.09.03	12:00:00	1.33475	1.33800	1.33439	1.33726	11437	0	0
2019.09.03	16:00:00	1.33726	1.33825	1.33240	1.33270	23248	0	0
2019.09.03	20:00:00	1.33270	1.33430	1.33228	1.33347	16894	0	0
2019.09.04	00:00:00	1.33346	1.33444	1.33274	1.33359	7800	0	1
2019.09.04	04:00:00	1.33359	1.33365	1.33237	1.33265	6929	0	2
2019.09.04	08:00:00	1.33261	1.33283	1.33159	1.33208	8372	0	0
2019.09.04	12:00:00	1.33209	1.33284	1.33131	1.33221	8572	0	0
2019.09.04	16:00:00	1.33221	1.33389	1.32313	1.32331	22037	0	0
2019.09.04	20:00:00	1.32330	1.32369	1.32185	1.32217	13433	0	0
2019.09.05	00:00:00	1.32216	1.32293	1.32170	1.32288	6131	0	0
2019.09.05	04:00:00	1.32288	1.32339	1.32175	1.32196	16997	0	1
2019.09.05	08:00:00	1.32196	1.32207	1.31976	1.31978	10573	0	0
2019.09.05	12:00:00	1.31977	1.32102	1.31913	1.32093	11016	0	0
2019.09.05	16:00:00	1.32094	1.32460	1.31953	1.32352	17415	0	0
2019.09.05	20:00:00	1.32354	1.32446	1.32262	1.32302	4516	0	0
2019.09.06	00:00:00	1.32290	1.32316	1.32247	1.32296	7449	0	3
2019.09.06	04:00:00	1.32293	1.32350	1.32078	1.32163	6759	0	1
2019.09.06	08:00:00	1.32163	1.32172	1.31954	1.32045	6678	0	0
2019.09.06	12:00:00	1.32045	1.32307	1.31788	1.31882	12316	0	0
2019.09.06	16:00:00	1.31880	1.31895	1.31580	1.31675	15579	0	0
2019.09.06	20:00:00	1.31675	1.31830	1.31583	1.31640	9258	0	1
2019.09.09	00:00:00	1.31741	1.31772	1.31658	1.31728	8597	0	1
